# EPSILON_RANGE: 0.20 0.21 0.22 0.23 0.24 0.25 0.26 0.27 0.28 0.29 0.30
#
# omega	rho_min	rho_max
0.000000	-8.459167e-02	1.130718e-02
0.030150	-8.401606e-02	7.184677e-03
0.060300	-8.135163e-02	5.369661e-03
0.090450	-7.653132e-02	5.648032e-03
0.120600	-6.979206e-02	7.706312e-03
0.150750	-6.188894e-02	1.109224e-02
0.180900	-5.337829e-02	1.537970e-02
0.211060	-4.475745e-02	2.019320e-02
0.241210	-3.632336e-02	2.523480e-02
0.271360	-2.819495e-02	3.032901e-02
0.301510	-2.069258e-02	3.532197e-02
0.331660	-1.343847e-02	4.015394e-02
0.361810	-6.983451e-03	4.478590e-02
0.391960	-7.435722e-04	4.918035e-02
0.422110	4.904614e-03	5.338969e-02
0.452260	1.014509e-02	5.736116e-02
0.482410	1.513784e-02	6.114001e-02
0.512560	1.959344e-02	6.472860e-02
0.542710	2.396403e-02	6.812756e-02
0.572860	2.790772e-02	7.137926e-02
0.603020	3.153664e-02	7.447366e-02
0.633170	3.512455e-02	7.741818e-02
0.663320	3.835726e-02	8.024603e-02
0.693470	4.136513e-02	8.295374e-02
0.723620	4.433880e-02	8.554336e-02
0.753770	4.703504e-02	8.803615e-02
0.783920	4.952925e-02	9.043662e-02
0.814070	5.205221e-02	9.274886e-02
0.844220	5.432240e-02	9.497472e-02
0.874370	5.641617e-02	9.712894e-02
0.904520	5.856742e-02	9.922380e-02
0.934670	6.050633e-02	1.012498e-01
0.964820	6.234022e-02	1.032122e-01
0.994970	6.401966e-02	1.051143e-01
1.025130	6.579924e-02	1.069840e-01
1.055280	6.736920e-02	1.088030e-01
1.085430	6.886706e-02	1.105752e-01
1.115580	7.022530e-02	1.123086e-01
1.145730	7.171020e-02	1.139905e-01
1.175880	7.300377e-02	1.156617e-01
1.206030	7.423690e-02	1.172990e-01
1.236180	7.539126e-02	1.189052e-01
1.266330	7.648707e-02	1.204829e-01
1.296480	7.767237e-02	1.220272e-01
1.326630	7.869301e-02	1.235611e-01
1.356780	7.967034e-02	1.250848e-01
1.386930	8.060263e-02	1.265890e-01
1.417090	8.142258e-02	1.280758e-01
1.447240	8.239226e-02	1.295471e-01
1.477390	8.323018e-02	1.310562e-01
1.507540	8.400853e-02	1.324310e-01
1.537690	8.475471e-02	1.338816e-01
1.567840	8.547019e-02	1.353233e-01
1.597990	8.607325e-02	1.367576e-01
1.628140	8.678997e-02	1.381859e-01
1.658290	8.749599e-02	1.396095e-01
1.688440	8.809080e-02	1.410297e-01
1.718590	8.866108e-02	1.425111e-01
1.748740	8.920782e-02	1.438352e-01
1.778890	8.973201e-02	1.452668e-01
1.809050	9.017782e-02	1.466996e-01
1.839200	9.062447e-02	1.481349e-01
1.869350	9.119656e-02	1.495734e-01
1.899500	9.167267e-02	1.510163e-01
1.929650	9.208732e-02	1.524644e-01
1.959800	9.248420e-02	1.539187e-01
1.989950	9.286395e-02	1.553798e-01
2.020100	9.322720e-02	1.569327e-01
2.050250	9.357453e-02	1.583164e-01
2.080400	9.387028e-02	1.597761e-01
2.110550	9.411242e-02	1.612860e-01
2.140700	9.445323e-02	1.628067e-01
2.170850	9.485470e-02	1.643391e-01
2.201010	9.514846e-02	1.658836e-01
2.231160	9.540312e-02	1.674411e-01
2.261310	9.564523e-02	1.690121e-01
2.291460	9.587517e-02	1.705971e-01
2.321610	9.609332e-02	1.721968e-01
2.351760	9.630002e-02	1.738116e-01
2.381910	9.649560e-02	1.754422e-01
2.412060	9.668037e-02	1.770889e-01
2.442210	9.685464e-02	1.787535e-01
2.472360	9.694990e-02	1.805412e-01
2.502510	9.704404e-02	1.822244e-01
2.532660	9.719684e-02	1.837955e-01
2.562810	9.740695e-02	1.855266e-01
2.592960	9.762363e-02	1.872911e-01
2.623120	9.776293e-02	1.890750e-01
2.653270	9.786525e-02	1.908787e-01
2.683420	9.795909e-02	1.927024e-01
2.713570	9.804463e-02	1.945466e-01
2.743720	9.812206e-02	1.964115e-01
2.773870	9.819156e-02	1.982976e-01
2.804020	9.825330e-02	2.002050e-01
2.834170	9.830744e-02	2.021340e-01
2.864320	9.835414e-02	2.040849e-01
2.894470	9.839355e-02	2.060580e-01
2.924620	9.842579e-02	2.080535e-01
2.954770	9.845102e-02	2.100717e-01
2.984920	9.846936e-02	2.121126e-01
3.015080	9.848093e-02	2.141766e-01
3.045230	9.848585e-02	2.162638e-01
3.075380	9.848423e-02	2.183743e-01
3.105530	9.847618e-02	2.205084e-01
3.135680	9.846181e-02	2.226662e-01
3.165830	9.842241e-02	2.248478e-01
3.195980	9.836783e-02	2.270533e-01
3.226130	9.830235e-02	2.292829e-01
3.256280	9.823490e-02	2.315366e-01
3.286430	9.816503e-02	2.338145e-01
3.316580	9.809691e-02	2.361167e-01
3.346730	9.802792e-02	2.384433e-01
3.376880	9.795532e-02	2.407943e-01
3.407040	9.788625e-02	2.431696e-01
3.437190	9.781185e-02	2.455695e-01
3.467340	9.773220e-02	2.480080e-01
3.497490	9.764738e-02	2.505193e-01
3.527640	9.755745e-02	2.530643e-01
3.557790	9.746249e-02	2.556164e-01
3.587940	9.736257e-02	2.581596e-01
3.618090	9.725775e-02	2.606884e-01
3.648240	9.714810e-02	2.632060e-01
3.678390	9.703369e-02	2.657235e-01
3.708540	9.691457e-02	2.682580e-01
3.738690	9.679837e-02	2.708317e-01
3.768840	9.668215e-02	2.734698e-01
3.798990	9.656650e-02	2.761654e-01
3.829150	9.645653e-02	2.788846e-01
3.859300	9.634739e-02	2.816275e-01
3.889450	9.623959e-02	2.843938e-01
3.919600	9.612006e-02	2.871834e-01
3.949750	9.597499e-02	2.899961e-01
3.979900	9.581384e-02	2.928319e-01
4.010050	9.564827e-02	2.956905e-01
4.040200	9.547836e-02	2.985717e-01
4.070350	9.530414e-02	3.014753e-01
4.100500	9.512566e-02	3.044012e-01
4.130650	9.494298e-02	3.073492e-01
4.160800	9.475615e-02	3.103190e-01
4.190950	9.456521e-02	3.133103e-01
4.221110	9.437022e-02	3.163231e-01
4.251260	9.417122e-02	3.193570e-01
4.281410	9.396827e-02	3.224119e-01
4.311560	9.376141e-02	3.254874e-01
4.341710	9.355070e-02	3.285832e-01
4.371860	9.333619e-02	3.316993e-01
4.402010	9.311792e-02	3.348351e-01
4.432160	9.289596e-02	3.379906e-01
4.462310	9.263284e-02	3.411654e-01
4.492460	9.223413e-02	3.443592e-01
4.522610	9.191172e-02	3.475718e-01
4.552760	9.175366e-02	3.508028e-01
4.582910	9.159843e-02	3.540519e-01
4.613070	9.134406e-02	3.573189e-01
4.643220	9.108599e-02	3.606034e-01
4.673370	9.082428e-02	3.639051e-01
4.703520	9.055898e-02	3.672237e-01
4.733670	9.029014e-02	3.705588e-01
4.763820	9.001783e-02	3.739102e-01
4.793970	8.974210e-02	3.772775e-01
4.824120	8.943948e-02	3.806604e-01
4.854270	8.892200e-02	3.840585e-01
4.884420	8.871886e-02	3.874715e-01
4.914570	8.847223e-02	3.908990e-01
4.944720	8.816374e-02	3.943408e-01
4.974870	8.785179e-02	3.977965e-01
5.005030	8.753642e-02	4.012657e-01
5.035180	8.721771e-02	4.047480e-01
5.065330	8.689572e-02	4.082432e-01
5.095480	8.631674e-02	4.117509e-01
5.125630	8.612277e-02	4.152707e-01
5.155780	8.577047e-02	4.188022e-01
5.185930	8.541473e-02	4.223452e-01
5.216080	8.505560e-02	4.258992e-01
5.246230	8.469316e-02	4.294639e-01
5.276380	8.410232e-02	4.330390e-01
5.306530	8.384400e-02	4.366241e-01
5.336680	8.344688e-02	4.402188e-01
5.366830	8.304627e-02	4.438228e-01
5.396980	8.264227e-02	4.474357e-01
5.427140	8.211287e-02	4.510572e-01
5.457290	8.171903e-02	4.546870e-01
5.487440	8.127594e-02	4.583246e-01
5.517590	8.082929e-02	4.619698e-01
5.547740	8.037915e-02	4.656221e-01
5.577890	7.974738e-02	4.692813e-01
5.608040	7.936062e-02	4.729470e-01
5.638190	7.886687e-02	4.766188e-01
5.668340	7.836948e-02	4.802964e-01
5.698490	7.786854e-02	4.839795e-01
5.728640	7.728461e-02	4.876677e-01
5.758790	7.673930e-02	4.913608e-01
5.788940	7.619019e-02	4.950583e-01
5.819100	7.563740e-02	4.987599e-01
5.849250	7.508103e-02	5.024654e-01
5.879400	7.443881e-02	5.061744e-01
5.909550	7.383363e-02	5.098865e-01
5.939700	7.322464e-02	5.136015e-01
5.969850	7.261193e-02	5.173190e-01
6.000000	7.199563e-02	5.210388e-01
