#w	rho	error	jackknife1	jackknife2	jackknife3	jackknife4	jackknife5	jackknife6	jackknife7	jackknife8	jackknife9	jackknife10
0.000000	1.856404e-02	4.265749e-04	1.860750e-02	1.870668e-02	1.850979e-02	1.863223e-02	1.864404e-02	1.818371e-02	1.853303e-02	1.869252e-02	1.852166e-02	1.860926e-02
0.010010	1.821697e-02	4.025429e-04	1.825917e-02	1.835258e-02	1.816572e-02	1.827968e-02	1.829259e-02	1.785843e-02	1.818406e-02	1.833745e-02	1.817862e-02	1.826137e-02
0.020020	1.787338e-02	3.789004e-04	1.791434e-02	1.800206e-02	1.782517e-02	1.793060e-02	1.794465e-02	1.753629e-02	1.783865e-02	1.798595e-02	1.783901e-02	1.791709e-02
0.030030	1.753361e-02	3.556728e-04	1.757335e-02	1.765545e-02	1.748847e-02	1.758531e-02	1.760055e-02	1.721760e-02	1.749714e-02	1.763831e-02	1.750315e-02	1.757674e-02
0.040040	1.719796e-02	3.328876e-04	1.723649e-02	1.731306e-02	1.715593e-02	1.724412e-02	1.726059e-02	1.690267e-02	1.715984e-02	1.729488e-02	1.717136e-02	1.724063e-02
0.050050	1.686675e-02	3.105757e-04	1.690411e-02	1.697523e-02	1.682787e-02	1.690736e-02	1.692510e-02	1.659180e-02	1.682706e-02	1.695597e-02	1.684394e-02	1.690908e-02
0.060060	1.654031e-02	2.887721e-04	1.657651e-02	1.664226e-02	1.650459e-02	1.657535e-02	1.659440e-02	1.628530e-02	1.649913e-02	1.662190e-02	1.652123e-02	1.658242e-02
0.070070	1.621895e-02	2.675176e-04	1.625402e-02	1.631450e-02	1.618644e-02	1.624841e-02	1.626881e-02	1.598348e-02	1.617638e-02	1.629301e-02	1.620352e-02	1.626096e-02
0.080080	1.590300e-02	2.468603e-04	1.593696e-02	1.599225e-02	1.587371e-02	1.592688e-02	1.594866e-02	1.568664e-02	1.585912e-02	1.596961e-02	1.589114e-02	1.594502e-02
0.090090	1.559277e-02	2.268587e-04	1.562565e-02	1.567585e-02	1.556673e-02	1.561106e-02	1.563427e-02	1.539511e-02	1.554767e-02	1.565204e-02	1.558442e-02	1.563493e-02
0.100100	1.528859e-02	2.075851e-04	1.532041e-02	1.536562e-02	1.526583e-02	1.530129e-02	1.532595e-02	1.510917e-02	1.524235e-02	1.534061e-02	1.528365e-02	1.533100e-02
0.110110	1.499077e-02	1.891308e-04	1.502157e-02	1.506188e-02	1.497131e-02	1.499789e-02	1.502405e-02	1.482915e-02	1.494350e-02	1.503566e-02	1.498918e-02	1.503356e-02
0.120120	1.469964e-02	1.716133e-04	1.472945e-02	1.476496e-02	1.468349e-02	1.470118e-02	1.472886e-02	1.455536e-02	1.465142e-02	1.473751e-02	1.470130e-02	1.474292e-02
