#w	rho	error	jackknife1	jackknife2	jackknife3	jackknife4	jackknife5	jackknife6	jackknife7	jackknife8	jackknife9	jackknife10
0.000000	5.918592e-03	2.968211e-04	5.907920e-03	5.913606e-03	5.764730e-03	5.918833e-03	6.031400e-03	5.758487e-03	5.992450e-03	5.898582e-03	6.091128e-03	5.908780e-03
0.010010	6.013367e-03	2.772122e-04	6.002628e-03	6.011451e-03	5.869663e-03	6.014899e-03	6.120754e-03	5.860753e-03	6.082488e-03	5.996713e-03	6.170359e-03	6.003961e-03
0.020020	6.111658e-03	2.580414e-04	6.100942e-03	6.112811e-03	5.977984e-03	6.114388e-03	6.213622e-03	5.966388e-03	6.176036e-03	6.098309e-03	6.253392e-03	6.102709e-03
0.030030	6.213556e-03	2.393424e-04	6.202953e-03	6.217774e-03	6.089782e-03	6.217388e-03	6.310099e-03	6.075479e-03	6.273185e-03	6.203459e-03	6.340324e-03	6.205114e-03
0.040040	6.319151e-03	2.211564e-04	6.308751e-03	6.326431e-03	6.205142e-03	6.323992e-03	6.410276e-03	6.188114e-03	6.374029e-03	6.312255e-03	6.431250e-03	6.311267e-03
0.050050	6.428534e-03	2.035346e-04	6.418427e-03	6.438871e-03	6.324153e-03	6.434288e-03	6.514246e-03	6.304381e-03	6.478660e-03	6.424787e-03	6.526268e-03	6.421259e-03
0.060060	6.541798e-03	1.865421e-04	6.532074e-03	6.555186e-03	6.446903e-03	6.548369e-03	6.622103e-03	6.424371e-03	6.587172e-03	6.541146e-03	6.625472e-03	6.535181e-03
0.070070	6.659033e-03	1.702626e-04	6.649784e-03	6.675465e-03	6.573480e-03	6.666326e-03	6.733941e-03	6.548171e-03	6.699658e-03	6.661423e-03	6.728960e-03	6.653126e-03
0.080080	6.780334e-03	1.548059e-04	6.771647e-03	6.799800e-03	6.703973e-03	6.788252e-03	6.849854e-03	6.675873e-03	6.816214e-03	6.785712e-03	6.836828e-03	6.775185e-03
0.090090	6.905792e-03	1.403164e-04	6.897758e-03	6.928282e-03	6.838472e-03	6.914238e-03	6.969937e-03	6.807566e-03	6.936934e-03	6.914103e-03	6.949174e-03	6.901451e-03
