# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
1.000000000000000021e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.002002002002001985e-02 4.580331258012316250e-04 1.331791437725891506e-05 4.628255278218216650e-04 4.612437658874584496e-04 4.608973901380518986e-04 4.627200604487292077e-04 4.618073254090466649e-04 4.596437790749721545e-04 4.528941536116161751e-04 4.639319759014746492e-04 4.638459783520288955e-04 4.595378467655571826e-04
4.004004004004003969e-02 9.340918404564157920e-04 5.128195037806226436e-05 9.526410059529713537e-04 9.466900152155207152e-04 9.455363046823780362e-04 9.520917506473449169e-04 9.490704795702422335e-04 9.403488265662814875e-04 9.149450541905398753e-04 9.566698671277672119e-04 9.563881940455825183e-04 9.402326244751940416e-04
6.006006006006005954e-02 1.376935914224185643e-03 1.012917631471062213e-04 1.413672985025908862e-03 1.402777938449527306e-03 1.400259210020183154e-03 1.411799669358737531e-03 1.407556875514639648e-03 1.388555258857072363e-03 1.339847721649348698e-03 1.420988777433743883e-03 1.420781918385297365e-03 1.390430288260249229e-03
8.008008008008007939e-02 1.733218170955575562e-03 1.426553152092405131e-04 1.785043139903507445e-03 1.771921076323572332e-03 1.767561259885267562e-03 1.780442625250006636e-03 1.778545686900732340e-03 1.747518436595853208e-03 1.682103372201280977e-03 1.793780508209779625e-03 1.794369261362194559e-03 1.755545603272210247e-03
1.001001001001000923e-01 1.956852810709675851e-03 1.555232011058521266e-04 2.013238978489602805e-03 2.003346605152095134e-03 1.996891291249387659e-03 2.004427771495083561e-03 2.010096369075864333e-03 1.968164355944128450e-03 1.902987839569731309e-03 2.019693468253756438e-03 2.022029931342886767e-03 1.987559163963504953e-03
1.201201201201201191e-01 2.031916824495071973e-03 1.323513307860921283e-04 2.078922015846672473e-03 2.078211049872101621e-03 2.069718470581956120e-03 2.065013917778824384e-03 2.082823167457564881e-03 2.033695937103268975e-03 1.989685602424583893e-03 2.079106201603731375e-03 2.083936341832686064e-03 2.068610409943379830e-03
1.401401401401401459e-01 1.961633601843761412e-03 8.513381507704557039e-05 1.987142729103279389e-03 1.999471621142358529e-03 1.989374827358220046e-03 1.968442030958378157e-03 2.000036833320419788e-03 1.949075844679832789e-03 1.943240603781605166e-03 1.978555853427918509e-03 1.986004449830510062e-03 2.000435035479702570e-03
1.601601601601601588e-01 1.791649463647127828e-03 6.673016750701092690e-05 1.789791817206477613e-03 1.815520723614501156e-03 1.804448697748460735e-03 1.767646889948217004e-03 1.811199414249787566e-03 1.763355349870707363e-03 1.802834355898932841e-03 1.772332515829686417e-03 1.781868567627597957e-03 1.828628797471448797e-03
1.801801801801801717e-01 1.574449465887169022e-03 1.124693113494808347e-04 1.545864741163603022e-03 1.582452471375529138e-03 1.571041765460814759e-03 1.522102835866135859e-03 1.573492629858934877e-03 1.532129225615398022e-03 1.614312892287701967e-03 1.521363453713447424e-03 1.532078192946751110e-03 1.606615143665982362e-03
