# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
1.000000000000000021e-08 1.087180097271837549e-07 2.360960130878031900e-07 1.579023491379894513e-07 1.221650992160281539e-07 1.093304334781227515e-07 8.516680178244116652e-13 8.544256180576139118e-10 1.961148385502063351e-45 1.804531516570606623e-07 7.939152388732867752e-08 1.211106313307755144e-07 1.000332713039678648e-300
1.002004008016032024e-02 1.216754834562091409e-02 1.635208024434492598e-03 1.185127418397697099e-02 1.201629772884279038e-02 1.207740782476446340e-02 1.281140586321402770e-02 1.304052188037253292e-02 1.303653044679912651e-02 1.195371219608323994e-02 1.221933014308341364e-02 1.198424215663544332e-02 1.289861523932696145e-02
2.004008016032064049e-02 1.479301584388751159e-02 4.079967586435528926e-03 1.403767771404630660e-02 1.442956063662969440e-02 1.457586634564037205e-02 1.639195885458883881e-02 1.697767860580736907e-02 1.696925403951068251e-02 1.427903021908833413e-02 1.491883511288505208e-02 1.435312311718835512e-02 1.663442972236736997e-02
3.006012024048096073e-02 1.795518462570975735e-02 7.576783379532579105e-03 1.660817750845909949e-02 1.730361663825890489e-02 1.756522261580094335e-02 2.091531184448803746e-02 2.202917152578702173e-02 2.201446011492211655e-02 1.703184434148673210e-02 1.818366695674130881e-02 1.716751303523385286e-02 2.138578580878877644e-02
4.008016032064128098e-02 2.173957246465653068e-02 1.241794144810490566e-02 1.961516311709710081e-02 2.070755347859499357e-02 2.112134387707702635e-02 2.657792775552374545e-02 2.844116310139229234e-02 2.841938787374612488e-02 2.027139028907694318e-02 2.210680926661089118e-02 2.049322066359025168e-02 2.737598675845220181e-02
5.010020040080159776e-02 2.623621567444572172e-02 1.892550167381948020e-02 2.311316129149977583e-02 2.471411639716225572e-02 2.532437434734535059e-02 3.359277949190074553e-02 3.647961428031376574e-02 3.645219255701450528e-02 2.405842412819580306e-02 2.678679250273274803e-02 2.439948272440857491e-02 3.484776374963592660e-02
6.012024048096192147e-02 3.153690786060923262e-02 2.743477127030568077e-02 2.715748790202558022e-02 2.939784977808770905e-02 3.025665123888059485e-02 4.218088841068876049e-02 4.641671857725918060e-02 4.638913936849544534e-02 2.845319170622770399e-02 3.232477326211700280e-02 2.895724637208556621e-02 4.405507540810462558e-02
7.014028056112224518e-02 3.773155564152214786e-02 3.826857349255897989e-02 3.180253392936051998e-02 3.483265382283083633e-02 3.599994171553244637e-02 5.255896632817485398e-02 5.851130580980564572e-02 5.849572188872137479e-02 3.351291528457562424e-02 3.882061105768978837e-02 3.423691890877273575e-02 5.524917415930721831e-02
8.016032064128256196e-02 4.490372788336127741e-02 5.170317615736511746e-02 3.709972945528147714e-02 4.108880144062300455e-02 4.263204951720828834e-02 6.492334444922127912e-02 7.298367918452366987e-02 7.300214299561101627e-02 3.928888611695184607e-02 4.636800995389152996e-02 4.030562811811983642e-02 6.865991154673849184e-02
9.018036072144287874e-02 5.312556033615774276e-02 6.792794239271403300e-02 4.309524930790262220e-02 4.822950282476523576e-02 5.022289336473705762e-02 7.943091350050648924e-02 8.998645565489232778e-02 9.007456851102550732e-02 4.582329361888669989e-02 5.504888996672079038e-02 4.722407275924206393e-02 8.447315996678723959e-02
1.002004008016031955e-01 6.245227900037142454e-02 8.700252860951727951e-02 4.982755515246851258e-02 5.630716190838072621e-02 5.883022813821881664e-02 9.617846196690842120e-02 1.095741982895688249e-01 1.097847440264941021e-01 5.314597156186957883e-02 6.492727024126117297e-02 5.504309278358134050e-02 1.028059890340340121e-01
1.102204408817635262e-01 7.291669870114035612e-02 1.088170507982542112e-01 5.732489758738398833e-02 6.535952302184064311e-02 6.849524535612308562e-02 1.151824202404129055e-01 1.316756702638741672e-01 1.320816159797174871e-01 6.127128186042631042e-02 7.604305617875403711e-02 6.380013650061452934e-02 1.236820308224294007e-01
1.202404809619238429e-01 8.452412182242705074e-02 1.330615889397370744e-01 6.560292345028707894e-02 7.540594917854190338e-02 7.923834129643377022e-02 1.363614508127823921e-01 1.560730946987726186e-01 1.567692193497955966e-01 7.019537880104459449e-02 8.840620699411132211e-02 7.351583980595879919e-02 1.470100549875132667e-01
1.302605210420841597e-01 9.724809156621264106e-02 1.592112981179651110e-01 7.466254443292848209e-02 8.644409817602072277e-02 9.105537003397420892e-02 1.595244327893093894e-01 1.823926143718766768e-01 1.834950272855518649e-01 7.989409516260480293e-02 1.019918014406135109e-01 8.419095437713683405e-02 1.725689607854838936e-01
1.402805611222444904e-01 1.110274344011164815e-01 1.865320351401089372e-01 8.448822074597261977e-02 9.844726356403467327e-02 1.039146978143900557e-01 1.843660847990977458e-01 2.101090935186035735e-01 2.117520671549449340e-01 9.032166383104298091e-02 1.167365050168210766e-01 9.580386268390767013e-02 2.000020509550789749e-01
1.503006012024047933e-01 1.257649542474971738e-01 2.141088763168326747e-01 9.504679699724613573e-02 1.113626217593595286e-01 1.177553412738807509e-01 2.104717455165629747e-01 2.385665808178176750e-01 2.408964471570163857e-01 1.014104352481191851e-01 1.325368668126010452e-01 1.083088954264240927e-01 2.288225600941469207e-01
1.603206412825651239e-01 1.413280211849375911e-01 2.408965971422080132e-01 1.062869974562311304e-01 1.251105749399364919e-01 1.324864062970197431e-01 2.373317715013518459e-01 2.670134624050689576e-01 2.701797671207119556e-01 1.130716772984811658e-01 1.492497425537017142e-01 1.216356222801514841e-01 2.584310720887583179e-01
1.703406813627254546e-01 1.575511426688882000e-01 2.657877481609935422e-01 1.181396470191137388e-01 1.395853061974546838e-01 1.479879526596903083e-01 2.643647870684142087e-01 2.946490311328536782e-01 2.987936214695707804e-01 1.251974582374799083e-01 1.666949659930017091e-01 1.356892233420103344e-01 2.881438959361649066e-01
1.803607214428857575e-01 1.742404339836234883e-01 2.876911111395634157e-01 1.305186364185122461e-01 1.546565762016381962e-01 1.641133017722753995e-01 2.909478468650892879e-01 3.206763707616234749e-01 3.259215086003786066e-01 1.376635251646363689e-01 1.846601945572143855e-01 1.503519727972600362e-01 3.172299622278678122e-01
1.903807615230460881e-01 1.911797383798100047e-01 3.056116583757794714e-01 1.433226003468865417e-01 1.701726987379829914e-01 1.806926929442394247e-01 3.164506617542215960e-01 3.443554877422401739e-01 3.507923329906219023e-01 1.503330108120561337e-01 2.029076619133785286e-01 1.654857861037297428e-01 3.449526366126432486e-01
2.004008016032063910e-01 2.081380066888936509e-01 3.187229935191726593e-01 1.564372301553377809e-01 1.859645458769738913e-01 1.975380902425914187e-01 3.402705515707957762e-01 3.650507003368753667e-01 3.727295403377601235e-01 1.630607391004091078e-01 2.211824042400809820e-01 1.809357059422742331e-01 3.706122330607801718e-01
2.104208416833667217e-01 2.248774476081921436e-01 3.264246040213280020e-01 1.697381031087868142e-01 2.018503612463968255e-01 2.144488583786472724e-01 3.618647943410515655e-01 3.822673521089064996e-01 3.911907504822574322e-01 1.756978613225449182e-01 2.392214082969200961e-01 1.965341380744421995e-01 3.935850399155332302e-01
2.204408817635270523e-01 2.411619130936202837e-01 3.283787650814346537e-01 1.830938812118507175e-01 2.176411087755697471e-01 2.312179702771273715e-01 3.807775110285183673e-01 3.956746803208682772e-01 4.057943266073574251e-01 1.880965427332334794e-01 2.567630701267745730e-01 2.121056020404131770e-01 4.133553025435588446e-01
2.304609218436873552e-01 2.567649904610643796e-01 3.245250642101936700e-01 1.963697163339356289e-01 2.331460582664927617e-01 2.476383852321808465e-01 3.966590436331473568e-01 4.051137435334846715e-01 4.163312852946264853e-01 2.001144329317007253e-01 2.735563566501026389e-01 2.274717367985095995e-01 4.295376820897677250e-01
2.404809619238476859e-01 2.714773286674324604e-01 3.150736852451216374e-01 2.094306951965106411e-01 2.481783089067423620e-01 2.635092448133796728e-01 4.092767874070755707e-01 4.105912890497895873e-01 4.227629185778893350e-01 2.116186888146598111e-01 2.893691231037477385e-01 2.424562987123953517e-01 4.418890087040664993e-01
2.505010020040079888e-01 2.851128199179701062e-01 3.004813342168352608e-01 2.221451667736715208e-01 2.625599750940362798e-01 2.786415701931297395e-01 4.185174497427502915e-01 4.122619961159930124e-01 4.252061336629970878e-01 2.224893700090803117e-01 3.039951449498214386e-01 2.568899069772732080e-01 4.503094379745943843e-01
2.605210420841683194e-01 2.975133749750830114e-01 2.814157652489006622e-01 2.343878137251050320e-01 2.761268011126374877e-01 2.928632028027008394e-01 4.243815796835899157e-01 4.104024816863788283e-01 4.239096076552095194e-01 2.326220865273276595e-01 3.172595570766908457e-01 2.706143259079007990e-01 4.548342083196638130e-01
2.705410821643286501e-01 3.085521562275724827e-01 2.587163199822499760e-01 2.460423558456789894e-01 2.887320262947318805e-01 3.060228021314237434e-01 4.269718435390172373e-01 4.053807691985062411e-01 4.192243344146598383e-01 2.419298399807681965e-01 3.290225381741678778e-01 2.834861195105423115e-01 4.556179613179840993e-01
2.805611222444889807e-01 3.181352529778542215e-01 2.333590953448483885e-01 2.570038041108841376e-01 3.002493838520052249e-01 3.179927917221260225e-01 4.264768722938654388e-01 3.976246867777203375e-01 4.115720636254110443e-01 2.503440570703377444e-01 3.391812178694660340e-01 2.953795659890695591e-01 4.529139813076665799e-01
2.905811623246493114e-01 3.262018877124311933e-01 2.064369835207328086e-01 2.671802157515446030e-01 3.105751784730133025e-01 3.286712194198517789e-01 4.231525864021872252e-01 3.875920429009622747e-01 4.014146362714437477e-01 2.578148627988799957e-01 3.476699056998331927e-01 3.061887730945556108e-01 4.470507587057295229e-01
3.006012024048095865e-01 3.327233232857668144e-01 1.791676472484033666e-01 2.764939313254768383e-01 3.196294449382820479e-01 3.379825646575866371e-01 4.173027621200275927e-01 3.757446102658529852e-01 3.892264785962337159e-01 2.643106782241981256e-01 3.544588357973142423e-01 3.158289850965818601e-01 4.384080546577840409e-01
3.106212424849699172e-01 3.377006957739886461e-01 1.529456679343901282e-01 2.848823019682712454e-01 3.273562386561337800e-01 3.458775798837525062e-01 4.092603097818998115e-01 3.625270989831472779e-01 3.754716939661913999e-01 2.698172525820606849e-01 3.595516853456278139e-01 3.242371153167284969e-01 4.273942370091042831e-01
3.206412825651302478e-01 3.411620264447123851e-01 1.294477726203301371e-01 2.922979375581306050e-01 3.337231468994512618e-01 3.523322929980886586e-01 3.993703608421257378e-01 3.483515414352043038e-01 3.605864200176062129e-01 2.743362526576567650e-01 3.629821585484699908e-01 3.313715725299377635e-01 4.144261643490738667e-01
3.306613226452905785e-01 3.431586716384028568e-01 1.107324538780211504e-01 2.987085237259455850e-01 3.387201357608765617e-01 3.573463224895451762e-01 3.879758707259461925e-01 3.335869152509839397e-01 3.449664817074398204e-01 2.778835348096554969e-01 3.648099342280905488e-01 3.372114741955072881e-01 3.999123966604259950e-01
3.406813627254509091e-01 3.437614558132903730e-01 9.903977911434397319e-02 3.040962673530887561e-01 3.423578627503786054e-01 3.609406678992109763e-01 3.754060863628406186e-01 3.185534233227660383e-01 3.289599083853397277e-01 2.804872191156653760e-01 3.651162594408895457e-01 3.417553545180515018e-01 3.842400659539468299e-01
3.507014028056111843e-01 3.430567057689256627e-01 9.579089785990041461e-02 3.084570367456049844e-01 3.446655897187123618e-01 3.631551372766473884e-01 3.619679305450523299e-01 3.035206212352213884e-01 3.128635969791803140e-01 2.821856730277649827e-01 3.639994397510795676e-01 3.450194816162500122e-01 3.677653820828049591e-01
3.607214428857715149e-01 3.411423683336643475e-01 1.002993398738138420e-01 3.117992646874246376e-01 3.456888271405603730e-01 3.640455630143779597e-01 3.479401333203566149e-01 2.887085022787169164e-01 2.969232715540304213e-01 2.830254959738358056e-01 3.615704351574142716e-01 3.470358969521039616e-01 3.508074903703087832e-01
3.707414829659318456e-01 3.381243542411874747e-01 1.100835371347707869e-01 3.141426808724026576e-01 3.454868307286167450e-01 3.636809405502369197e-01 3.335697938959600872e-01 2.742906787952363312e-01 2.813358770423493027e-01 2.830595785337968739e-01 3.579487246040816695e-01 3.478502832613372675e-01 3.336452354687092225e-01
3.807615230460921762e-01 3.341132113334167597e-01 1.224845724848859924e-01 3.155169356807154823e-01 3.441300568878294941e-01 3.621406035095358078e-01 3.190709767188597001e-01 2.603988964916285065e-01 2.662536140509514926e-01 2.823452918069220274e-01 3.532585559916852080e-01 3.475197561939383228e-01 3.165163066249103152e-01
3.907815631262525069e-01 3.292211934236408677e-01 1.355849403703774381e-01 3.159601707659534520e-01 3.416976665106146172e-01 3.595115261804686102e-01 3.046249195456979253e-01 2.471282517317204275e-01 2.517889379294088736e-01 2.809428455971352823e-01 3.476256559309443550e-01 3.461106612880253119e-01 2.996182250309326611e-01
4.008016032064127820e-01 3.235597589709597321e-01 1.482201795830027646e-01 3.155175842406314213e-01 3.382751486399576679e-01 3.558858216036073219e-01 2.903814449958962984e-01 2.345426249793025053e-01 2.380199811134672272e-01 2.789138389013437469e-01 3.411744362892694671e-01 3.436964431221860017e-01 2.831106650833923322e-01
4.108216432865731127e-01 3.172375071306413608e-01 1.597380059991876378e-01 3.142400300569212490e-01 3.339521178421013814e-01 3.513584823668973178e-01 2.764612066315431660e-01 2.226799791608400914e-01 2.249959933151202962e-01 2.763200133565176797e-01 3.340257039896756819e-01 3.403556386262400202e-01 2.671186608096202120e-01
4.208416833667334433e-01 3.103585380348607980e-01 1.697990671780980620e-01 3.121826830084856730e-01 3.288203226527560696e-01 3.460253923380073315e-01 2.629584544255620937e-01 2.115572897121032747e-01 2.127425169050684295e-01 2.732222099579950658e-01 3.262948568344006817e-01 3.361700324111548399e-01 2.517363222154327396e-01
4.308617234468937740e-01 3.030212090924903068e-01 1.782524468918919303e-01 3.094037930250409518e-01 3.229718877965097046e-01 3.399816215479830595e-01 2.499440635677575850e-01 2.011749690727157036e-01 2.012661182892803713e-01 2.696795214591442558e-01 3.180905310429198996e-01 3.312229991793287920e-01 2.370307632251566488e-01
4.408817635270541047e-01 2.953172491041022862e-01 1.850621402908627089e-01 3.059635453651347037e-01 3.164978003647892502e-01 3.333200034530646172e-01 2.374686285422487331e-01 1.915207219319036425e-01 1.905585780972228749e-01 2.657486272062991040e-01 3.095136550221700422e-01 3.255980471417767586e-01 2.230460159858885238e-01
4.509018036072144353e-01 2.873311863089129670e-01 1.902630725431437575e-01 3.019230370981210720e-01 3.094866398925201767e-01 3.261299837912808863e-01 2.255654772329624136e-01 1.825728205381101921e-01 1.806005043527877107e-01 2.614832934685633048e-01 3.006568577151723654e-01 3.193775670556922575e-01 2.098067712561078602e-01
4.609218436873747105e-01 2.791400442818615657e-01 1.939338549182640370e-01 2.973433749785086011e-01 3.020235442526388869e-01 3.184967229935806166e-01 2.142535052901132775e-01 1.743028250196390627e-01 1.713643759365816033e-01 2.569340202639923132e-01 2.916041777140614411e-01 3.126417840152195260e-01 1.973218393052465214e-01
4.709418837675350411e-01 2.708132600633643139e-01 1.961792625988083294e-01 2.922848954623658013e-01 2.941893973326223377e-01 3.105004292785369380e-01 2.035397683185652673e-01 1.666777954629289626e-01 1.628170517537524120e-01 2.521478149305409477e-01 2.824310202086490196e-01 3.054679033862642279e-01 1.855872697314790987e-01
4.809619238476953718e-01 2.624127812832150464e-01 1.971186061362794339e-01 2.868065041547062100e-01 2.860602203388152853e-01 3.022158967764811965e-01 1.934217987708791997e-01 1.596620538650038446e-01 1.549217973960995698e-01 2.471680729296293622e-01 2.732043118933135117e-01 2.979294381099289457e-01 1.745891024198904795e-01
4.909819639278557024e-01 2.539933026872391864e-01 1.968778480682033538e-01 2.809651293349511580e-01 2.777067460276280153e-01 2.937122219035381843e-01 1.838896364625377533e-01 1.532185580015201498e-01 1.476398887739126253e-01 2.420345473237276446e-01 2.639828084184679957e-01 2.900957018070397520e-01 1.643057466695797553e-01
5.010020040080159776e-01 2.456026068590234923e-01 1.955842062441374984e-01 2.748152822919724403e-01 2.691941539131926797e-01 2.850526713661608591e-01 1.749275773902037867e-01 1.473099481796338595e-01 1.409318537895766221e-01 2.367833898000991921e-01 2.548175142313175989e-01 2.820314504810633727e-01 1.547100027421647039e-01
5.110220440881763082e-01 2.372819786320058966e-01 1.933624699315470985e-01 2.684087159095882580e-01 2.605819442837398192e-01 2.762946762847705018e-01 1.665156561401260060e-01 1.418993236762819132e-01 1.347584107216766303e-01 2.314472478269281319e-01 2.457521802235560215e-01 2.737966549225940849e-01 1.457707511965553593e-01
5.210420841683366389e-01 2.290666673980184531e-01 1.903325288191075881e-01 2.617941721760683182e-01 2.519239294304773114e-01 2.674899286890035643e-01 1.586308837071246647e-01 1.369507998034261154e-01 1.290811571855058626e-01 2.260554043737735830e-01 2.368238501357847192e-01 2.654463859630706857e-01 1.374543417537943124e-01
5.310621242484969695e-01 2.209863760174017033e-01 1.866077771545802122e-01 2.550172089501085981e-01 2.432683216384857183e-01 2.586845588130349261e-01 1.512482659834873955e-01 1.324298899817793473e-01 1.238630575020189944e-01 2.206339484912081261e-01 2.280634319124646148e-01 2.570307953261622425e-01 1.297257162916807538e-01
5.410821643286573002e-01 2.130657591801341511e-01 1.822941559076999840e-01 2.481200963121020786e-01 2.346578990261564690e-01 2.499193740121376239e-01 1.443416293587536647e-01 1.283037506025372920e-01 1.190687698546142592e-01 2.152059668431066386e-01 2.194962749992659667e-01 2.485951758243080678e-01 1.225493009147659018e-01
5.511022044088176308e-01 2.053249177746232501e-01 1.774896614358006941e-01 2.411417730844379603e-01 2.261302320968912594e-01 2.412301425796188059e-01 1.378842794816029504e-01 1.245413202208844744e-01 1.146648482742948089e-01 2.097917479642830985e-01 2.111427388390377247e-01 2.401800859120532261e-01 1.158897006955791620e-01
5.611222444889779615e-01 1.977798790550982233e-01 1.722841938336032719e-01 2.341178545500114672e-01 2.177179557631359341e-01 2.326479081548711580e-01 1.318495178156629255e-01 1.211133789826593365e-01 1.106198485920052571e-01 2.044089925430193355e-01 2.030187415190320699e-01 2.318215250286096707e-01 1.097122282693698686e-01
5.711422845691382921e-01 1.904430551575063968e-01 1.667596498239614644e-01 2.270806829766197354e-01 2.094490735245015944e-01 2.241993226996130961e-01 1.262110385849284921e-01 1.179925492372616569e-01 1.069043622044819480e-01 1.990730243854784143e-01 1.951362806541433459e-01 2.235511476533106612e-01 1.039832944604753284e-01
5.811623246492986228e-01 1.833236748184824960e-01 1.609901881981075089e-01 2.200594132192497665e-01 2.013472823586531790e-01 2.159069881295073989e-01 1.209432263561095178e-01 1.151532540545610050e-01 1.034909968861508350e-01 1.937969979029117717e-01 1.875039211886075918e-01 2.153965054934849910e-01 9.867068586568959743e-02
5.911823647294588424e-01 1.764281850377925898e-01 1.550426131302418131e-01 2.130801263840804149e-01 1.934323086656191681e-01 2.077897985924542779e-01 1.160213720598985837e-01 1.125716468076295163e-01 1.003543199452528872e-01 1.885920989769693523e-01 1.801272469074354232e-01 2.073813086757926583e-01 9.374375105519858198e-02
6.012024048096191731e-01 1.697606209355101425e-01 1.489768338455549901e-01 2.061659652673123455e-01 1.857202472597472842e-01 1.998632770701957162e-01 1.114218228568790575e-01 1.102255220456605789e-01 9.747077572812355706e-02 1.834677369134531666e-01 1.730092741231601672e-01 1.995256981850312417e-01 8.917351393028971618e-02
6.112224448897795037e-01 1.633229432382908852e-01 1.428463692026146759e-01 1.993372860055158680e-01 1.782238969083144164e-01 1.921399014458853027e-01 1.071220789992834432e-01 1.080942154880284028e-01 9.481858675940019188e-02 1.784317259041695303e-01 1.661508273006296055e-01 1.918465230662400323e-01 8.493272989331795975e-02
