# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
1.000000000000000021e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.008016032064127925e-03 4.877313592738643372e-02 8.718746692633885451e-03 4.372350290428875935e-02 4.237526860497352332e-02 4.930341176064412245e-02 5.024535054386650851e-02 4.942797238391786335e-02 4.816135443698583984e-02 4.843801807647647728e-02 4.980060040741605965e-02 4.832859415273132314e-02 5.103589560888496801e-02
8.016032064128255849e-03 7.804985163379191127e-02 2.572919524505547922e-02 6.329341890156198192e-02 5.948769378756928877e-02 7.973546068793579966e-02 8.277182045008860123e-02 8.014107896346719939e-02 7.610750251627768082e-02 7.701459138111893532e-02 8.133424664911782787e-02 7.664258728478437477e-02 8.539072942449640879e-02
1.202404809619238291e-02 9.399496275382059063e-02 4.291806991778065322e-02 6.968832066736153907e-02 6.351691926483049588e-02 9.698727015302185950e-02 1.022820837571963293e-01 9.774056488921524510e-02 9.051888947512626293e-02 9.222727755277053407e-02 9.987083628990210682e-02 9.148975506864547025e-02 1.073463102465361113e-01
1.603206412825651170e-02 1.011262554255936974e-01 5.689688721531838828e-02 6.935563934974434130e-02 6.127446655688834759e-02 1.052969535858172129e-01 1.122447004382921276e-01 1.064190670404180084e-01 9.619275063970272877e-02 9.878443534100268819e-02 1.093994590801868061e-01 9.759760911337202194e-02 1.202693196452573193e-01
2.004008016032064049e-02 1.026748601031003821e-01 6.673392780905335053e-02 6.595062945041547942e-02 5.644675764036450466e-02 1.077553616899876165e-01 1.152570034289659429e-01 1.092469276052961819e-01 9.648831683028984141e-02 1.000035026909506658e-01 1.128830025769553685e-01 9.829335167412762975e-02 1.267685952810695682e-01
2.404809619238476581e-02 1.008855271688162553e-01 7.266301654697787660e-02 6.146738893800030024e-02 5.094388791683446271e-02 1.065585420673944850e-01 1.133123023886478398e-01 1.084126626073500799e-01 9.368828617732041786e-02 9.814857517619211824e-02 1.124683981070553618e-01 9.584906456617424408e-02 1.288221046925894786e-01
2.805611222444889460e-02 9.728566747004738224e-02 7.540409571633309438e-02 5.695393337710762116e-02 4.570043930404858734e-02 1.032402948911009671e-01 1.080069742524731036e-01 1.054488284662482844e-01 8.930820502845496223e-02 9.472914605770137164e-02 1.096881081151516585e-01 9.178134152352412922e-02 1.279149411112830148e-01
3.206412825651302340e-02 9.287784550061786715e-02 7.579714141744520184e-02 5.292818347607266410e-02 4.112408210497103117e-02 9.883749549474379892e-02 1.006402273505440093e-01 1.013934954893112167e-01 8.431581475123765823e-02 9.071418283931140247e-02 1.056025285010145365e-01 8.706452418439225571e-02 1.251315615985290064e-01
3.607214428857714872e-02 8.830906663996780648e-02 7.462387019215349637e-02 4.963267240680126202e-02 3.735769993525039911e-02 9.404254603975850668e-02 9.227661373792435395e-02 9.694121642799803651e-02 7.931484030648094929e-02 8.671453337958462404e-02 1.009386075512008207e-01 8.231147715883867233e-02 1.212625683233247847e-01
