# Omega Rho_mean
0.000000000000000000e+00 1.885713555910977640e-02
1.002004008016032024e-02 2.321327468852569034e-02
2.004008016032064049e-02 2.822759328220016475e-02
3.006012024048096073e-02 3.394482735714785676e-02
4.008016032064128098e-02 4.040422073666963959e-02
5.010020040080159776e-02 4.763485540007123681e-02
6.012024048096192147e-02 5.565003311330673358e-02
7.014028056112224518e-02 6.444138199808158163e-02
8.016032064128256196e-02 7.397359631441258188e-02
9.018036072144287874e-02 8.418083899216827204e-02
1.002004008016031955e-01 9.496577314194287744e-02
1.102204408817635262e-01 1.062019009601016806e-01
1.202404809619238429e-01 1.177393961853883675e-01
1.302605210420841597e-01 1.294140120392669457e-01
1.402805611222444904e-01 1.410580725104015332e-01
1.503006012024047933e-01 1.525121586000503515e-01
1.603206412825651239e-01 1.636359849520497567e-01
1.703406813627254546e-01 1.743171470010309032e-01
1.803607214428857575e-01 1.844768418937100252e-01
1.903807615230460881e-01 1.940722089337870437e-01
2.004008016032063910e-01 2.030954635502681682e-01
2.104208416833667217e-01 2.115704075360605174e-01
2.204408817635270523e-01 2.195471305500867609e-01
2.304609218436873552e-01 2.270957712306136134e-01
2.404809619238476859e-01 2.343001165488948767e-01
2.505010020040079888e-01 2.412516409446552601e-01
2.605210420841683194e-01 2.480443772806073532e-01
2.705410821643286501e-01 2.547708135640691096e-01
2.805611222444889807e-01 2.615188490226666995e-01
2.905811623246493114e-01 2.683697302375351867e-01
3.006012024048095865e-01 2.753968219905197912e-01
3.106212424849699172e-01 2.826650394263594546e-01
3.206412825651302478e-01 2.902307676081246623e-01
3.306613226452905785e-01 2.981421108498926165e-01
3.406813627254509091e-01 3.064393396262699576e-01
3.507014028056111843e-01 3.151554303387397171e-01
3.607214428857715149e-01 3.243166202463615977e-01
3.707414829659318456e-01 3.339429231908017104e-01
3.807615230460921762e-01 3.440485715580202108e-01
3.907815631262525069e-01 3.546423659081832658e-01
4.008016032064127820e-01 3.657279256867534967e-01
4.108216432865731127e-01 3.773038440630788193e-01
4.208416833667334433e-01 3.893637565366739883e-01
4.308617234468937740e-01 4.018963380245434980e-01
4.408817635270541047e-01 4.148852461810340619e-01
4.509018036072144353e-01 4.283090309740142376e-01
4.609218436873747105e-01 4.421410314699604771e-01
4.709418837675350411e-01 4.563492810001548716e-01
4.809619238476953718e-01 4.708964416458748525e-01
4.909819639278557024e-01 4.857397877013785448e-01
5.010020040080159776e-01 5.008312567181962827e-01
5.110220440881763082e-01 5.161175842629511790e-01
5.210420841683366389e-01 5.315405364976926172e-01
5.310621242484969695e-01 5.470372513387168345e-01
5.410821643286573002e-01 5.625406957905868532e-01
5.511022044088176308e-01 5.779802428645722800e-01
5.611222444889779615e-01 5.932823673550480237e-01
5.711422845691382921e-01 6.083714547174040588e-01
5.811623246492986228e-01 6.231707129281864876e-01
5.911823647294588424e-01 6.376031716800693028e-01
6.012024048096191731e-01 6.515927493941100490e-01
6.112224448897795037e-01 6.650653636505455824e-01
6.212424849699398344e-01 6.779500578255147625e-01
6.312625250501001650e-01 6.901801138692879034e-01
6.412825651302604957e-01 7.016941204504503204e-01
6.513026052104208263e-01 7.124369651517240554e-01
6.613226452905811570e-01 7.223607215020367844e-01
6.713426853707414876e-01 7.314254042321209903e-01
6.813627254509018183e-01 7.395995703820970046e-01
6.913827655310621489e-01 7.468607489073078032e-01
7.014028056112223686e-01 7.531956879189573018e-01
7.114228456913826992e-01 7.586004144873468302e-01
7.214428857715430299e-01 7.630801091128609492e-01
7.314629258517033605e-01 7.666488030327776038e-01
7.414829659318636912e-01 7.693289122210810183e-01
7.515030060120240218e-01 7.711506271391669332e-01
7.615230460921843525e-01 7.721511810536813014e-01
7.715430861723446831e-01 7.723740221169920206e-01
7.815631262525050138e-01 7.718679166359666555e-01
7.915831663326653445e-01 7.706860101831498611e-01
8.016032064128255641e-01 7.688848734389429618e-01
8.116232464929858947e-01 7.665235567313239962e-01
8.216432865731462254e-01 7.636626756221126522e-01
8.316633266533065560e-01 7.603635460131502599e-01
8.416833667334668867e-01 7.566873841382000254e-01
8.517034068136272174e-01 7.526945829147478895e-01
8.617234468937875480e-01 7.484440726914936004e-01
8.717434869739478787e-01 7.439927709548748158e-01
8.817635270541082093e-01 7.393951221699739396e-01
8.917835671342685400e-01 7.347027268063875960e-01
9.018036072144288706e-01 7.299640557045316003e-01
9.118236472945890903e-01 7.252242443953808015e-01
9.218436873747494209e-01 7.205249609208688177e-01
9.318637274549097516e-01 7.159043392014158291e-01
9.418837675350700822e-01 7.113969700108973004e-01
9.519038076152304129e-01 7.070339411314642275e-01
9.619238476953907435e-01 7.028429185043677530e-01
9.719438877755510742e-01 6.988482605212087417e-01
9.819639278557114048e-01 6.950711580373973852e-01
9.919839679358717355e-01 6.915297932949894255e-01
1.002004008016031955e+00 6.882395117594612977e-01
1.012024048096192397e+00 6.852130016148781921e-01
1.022044088176352616e+00 6.824604760706529660e-01
1.032064128256513058e+00 6.799898549646916646e-01
1.042084168336673278e+00 6.778069422076068440e-01
1.052104208416833719e+00 6.759155966334409182e-01
1.062124248496993939e+00 6.743178943583636453e-01
1.072144288577154159e+00 6.730142811401187419e-01
1.082164328657314600e+00 6.720037137714207631e-01
1.092184368737474820e+00 6.712837899863532964e-01
1.102204408817635262e+00 6.708508665550594330e-01
1.112224448897795481e+00 6.707001657769816605e-01
1.122244488977955923e+00 6.708258704393930127e-01
1.132264529058116143e+00 6.712212079673846032e-01
1.142284569138276584e+00 6.718785242307272476e-01
1.152304609218436804e+00 6.727893478061250931e-01
1.162324649298597246e+00 6.739444456233486536e-01
1.172344689378757465e+00 6.753338707603527835e-01
1.182364729458917685e+00 6.769470034057208929e-01
1.192384769539078126e+00 6.787725860278084333e-01
1.202404809619238346e+00 6.807987535182401517e-01
1.212424849699398788e+00 6.830130594222292295e-01
1.222444889779559007e+00 6.854024992178521236e-01
1.232464929859719449e+00 6.879535313237425953e-01
1.242484969939879669e+00 6.906520969076954675e-01
1.252505010020040110e+00 6.934836392342862421e-01
1.262525050100200330e+00 6.964331232424456619e-01
1.272545090180360772e+00 6.994850561172422099e-01
1.282565130260520991e+00 7.026235094652356628e-01
1.292585170340681211e+00 7.058321435620119599e-01
1.302605210420841653e+00 7.090942343833765982e-01
1.312625250501001872e+00 7.123927035326377277e-01
1.322645290581162314e+00 7.157101516961462684e-01
1.332665330661322534e+00 7.190288956375044949e-01
1.342685370741482975e+00 7.223310091661376831e-01
1.352705410821643195e+00 7.255983679722591839e-01
1.362725450901803637e+00 7.288126984898309901e-01
1.372745490981963856e+00 7.319556307627584912e-01
1.382765531062124298e+00 7.350087550868223962e-01
1.392785571142284518e+00 7.379536823718696459e-01
1.402805611222444737e+00 7.407721078429899686e-01
1.412825651302605179e+00 7.434458779188554134e-01
1.422845691382765398e+00 7.459570596668144704e-01
1.432865731462925840e+00 7.482880126170118329e-01
1.442885771543086060e+00 7.504214622284277603e-01
1.452905811623246501e+00 7.523405746241186298e-01
1.462925851703406721e+00 7.540290319396999452e-01
1.472945891783567163e+00 7.554711075904144701e-01
1.482965931863727382e+00 7.566517409614903489e-01
1.492985971943887824e+00 7.575566107056546095e-01
1.503006012024048044e+00 7.581722060789487516e-01
1.513026052104208263e+00 7.584858955426356797e-01
