# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
0.000000000000000000e+00 4.289936287015815356e-04 4.578130663460127509e-02 1.375651635272212049e-02 1.568427962555608152e-02 1.293004998301519083e-02 1.760746774977065346e-02 1.171051068093763303e-02 1.226956072350801619e-02 1.318332812126600702e-02 1.197612390253457136e-02 2.343028658242702483e-02 1.250644775915212524e-02
1.002004008016032024e-02 1.229170192938451155e-03 6.279009093699519650e-02 1.548139803302148003e-02 2.382558082597088095e-02 2.053444916363320397e-02 2.568183504113003002e-02 1.974845132931806954e-02 2.032347131288396794e-02 2.159341132091637319e-02 2.005419958127114405e-02 2.168229013434257862e-02 2.049509488111369085e-02
2.004008016032064049e-02 3.516607171127126945e-03 6.360357212036367447e-02 1.304619344952887526e-02 2.546439876995134841e-02 2.356609626793401691e-02 2.618470635115125594e-02 2.401143591383480408e-02 2.413559055327687067e-02 2.550863613939775842e-02 2.418581239013153222e-02 2.315337619867434762e-02 2.409644108380862293e-02
3.006012024048096073e-02 1.023402236613353729e-02 4.457020949132057402e-02 1.374750855848783267e-02 2.427148662499703860e-02 2.417218321006638776e-02 2.414870395660884822e-02 2.578173916038318386e-02 2.538139862220497103e-02 2.663947128557076285e-02 2.579698233176556596e-02 2.400743998471682045e-02 2.509917788751866996e-02
4.008016032064128098e-02 2.663999282055935780e-02 9.802687989468364047e-03 1.846546700894730053e-02 2.365287386551088306e-02 2.507450672134583364e-02 2.315596687622644215e-02 2.753465882233524162e-02 2.673686689894147830e-02 2.770941342585956854e-02 2.744379509103498857e-02 2.486209740982691513e-02 2.620428135036929201e-02
5.010020040080159776e-02 5.642732743058255507e-02 8.886692837402278278e-02 2.794162573988661843e-02 2.511031990314658777e-02 2.788721207683229550e-02 2.462607595621789380e-02 3.093150110750917184e-02 2.987120032132770803e-02 3.037807944347334019e-02 3.079571180267441297e-02 2.715220309347287503e-02 2.909111811270322090e-02
6.012024048096192147e-02 9.469368516266708780e-02 1.898394084467796838e-01 4.256235170740747809e-02 2.943176462336589277e-02 3.364016175968968791e-02 2.948997765222319961e-02 3.703160912535598953e-02 3.583348763834581785e-02 3.560333922682264174e-02 3.690270593635455731e-02 3.169751798342554383e-02 3.497809385331678705e-02
7.014028056112224518e-02 1.285209775151443523e-01 2.650178677514857251e-01 6.185225166802080926e-02 3.746194704199911490e-02 4.329694039880835343e-02 3.882569887085317306e-02 4.667681892215197470e-02 4.550825545037850972e-02 4.412032941770525213e-02 4.659509058186162012e-02 3.910306696964214318e-02 4.539508670598183665e-02
8.016032064128256196e-02 1.473422153412374258e-01 2.789307831933832693e-01 8.535045268831616128e-02 5.021103909949916483e-02 5.774470432051804353e-02 5.344558577644565461e-02 6.048122999887588225e-02 5.960200243513587987e-02 5.649971809890232122e-02 6.046027828493692052e-02 4.981399850093573556e-02 6.201458650592593658e-02
9.018036072144287874e-02 1.498812464914716647e-01 2.280711691751296788e-01 1.135891440465192498e-01 6.850092362842417903e-02 7.735365550587995631e-02 7.282038345704072713e-02 7.849798738584078117e-02 7.825692052393988518e-02 7.288289865063551920e-02 7.849299316740138144e-02 6.390052604594413654e-02 8.401113512738912770e-02
