# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.005340453938585100e-03 6.046089614400782658e-02 1.018401646852459558e-03 6.046943248485693589e-02 6.002743751892082591e-02 6.040861081051809856e-02 6.021229162908626337e-02 6.073750699635221267e-02 6.037085708274644857e-02 6.038710967898132387e-02 6.080492337973683603e-02 6.025527625048856389e-02 6.119255869505805384e-02
8.010680907877170201e-03 1.206033330586980812e-01 1.876842836007423538e-03 1.206224204717726151e-01 1.198041344308014844e-01 1.205063948537423851e-01 1.201437688081521959e-01 1.211120591332971452e-01 1.204374757806945390e-01 1.204678896254027243e-01 1.212365468369341337e-01 1.202237606450419355e-01 1.219516179851435900e-01
1.201602136181575617e-02 1.804306331267817309e-01 2.582206487468645829e-03 1.804646138514205134e-01 1.793305340960479888e-01 1.802959810481987168e-01 1.797953519209649076e-01 1.811281048490864520e-01 1.802025989270589768e-01 1.802456005767335556e-01 1.812999257956491861e-01 1.799070930807603608e-01 1.822856639278082336e-01
1.602136181575434040e-02 2.399371531366123744e-01 3.142705803774497458e-03 2.399919268895687186e-01 2.385975563836860713e-01 2.397710926373526064e-01 2.391589668273647606e-01 2.407817077496174074e-01 2.396598660635102518e-01 2.397143122803675475e-01 2.409917746849503384e-01 2.392978071605388890e-01 2.421950964386073435e-01
2.002670226969292464e-02 2.991144248602662925e-01 3.567574997125305073e-03 2.991968177296823184e-01 2.975928675708730542e-01 2.989226818123325025e-01 2.982237140880347748e-01 3.000665525471814532e-01 2.987999833844339204e-01 2.988650936742547892e-01 3.003064627228958505e-01 2.983855141534199062e-01 3.016781479721095671e-01
2.403204272363151234e-02 3.579459096258276740e-01 3.866672551896461075e-03 3.580631603880410907e-01 3.562958043599177560e-01 3.577336857121473090e-01 3.569706791099006016e-01 3.589685509051214751e-01 3.576055162835378165e-01 3.576808184032934101e-01 3.592306009882836881e-01 3.571517209510504665e-01 3.607253530445867495e-01
2.803738317757009657e-02 4.164136826078866371e-01 4.050304352514917661e-03 4.165730326004531969e-01 4.146841370269777061e-01 4.161857031879012681e-01 4.153796232076171768e-01 4.174724432478409963e-01 4.160575929713137278e-01 4.161428805875657111e-01 4.177496378018593082e-01 4.155765356164877744e-01 4.193261034258567443e-01
3.204272363150868080e-02 4.744943728650485859e-01 4.128969856620646507e-03 4.747027421533900338e-01 4.727301248428527614e-01 4.742549340034141192e-01 4.734249555872275250e-01 4.755576407829431584e-01 4.741318713619644409e-01 4.742271687415012815e-01 4.758436870939584118e-01 4.736346474177410837e-01 4.774643997515661265e-01
3.604806408544726504e-02 5.321656902389300114e-01 4.113270917372724260e-03 5.324294311752094666e-01 5.304070938559313220e-01 5.319186985391622935e-01 5.310822578470769662e-01 5.332047002390907231e-01 5.318050793872018955e-01 5.319106132561133293e-01 5.334939985806175233e-01 5.313018640276461202e-01 5.351253000521460912e-01
