# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.008016032064127925e-03 6.097171691846688807e-02 2.122904678985725394e-03 5.976072187291115584e-02 5.980003421700552657e-02 6.137879296694907783e-02 6.174432009659845677e-02 6.080881812196962249e-02 6.084534661698246666e-02 6.097025121147264803e-02 6.141243678067884182e-02 6.119187017526757366e-02 6.176454147758508872e-02
8.016032064128255849e-03 1.215879860885043517e-01 3.889449785047898768e-03 1.193727504692328328e-01 1.194359470295069947e-01 1.223337716530521480e-01 1.229986345599137082e-01 1.212925573572569277e-01 1.213538622629247443e-01 1.215869334762309656e-01 1.223956369616195916e-01 1.219866372946438182e-01 1.230440608797679358e-01
1.202404809619238291e-02 1.818747380385113688e-01 5.297034039321469635e-03 1.788672060988704127e-01 1.789321687667733141e-01 1.828908881656539365e-01 1.837856717807016538e-01 1.814796747647161868e-01 1.815497174968489780e-01 1.818772097367908347e-01 1.829755938271052373e-01 1.824066907878683363e-01 1.838672318102351766e-01
1.603206412825651170e-02 2.418419116935893176e-01 6.351649951739749521e-03 2.382533078515343128e-01 2.382936201817215105e-01 2.430615547687269840e-01 2.441162022273865029e-01 2.413811426409057104e-01 2.414412510120071131e-01 2.418518010770174809e-01 2.431638752707862561e-01 2.424605331579440526e-01 2.442487174091476643e-01
2.004008016032064049e-02 3.014904732139526700e-01 7.066443543679080432e-03 2.975264088551741737e-01 2.975133618860620333e-01 3.028493751415942126e-01 3.039953230197555145e-01 3.009977018291181139e-01 3.010279666713048252e-01 3.015120727666756317e-01 3.029643447308211224e-01 3.021494552211208551e-01 3.041958066454448217e-01
2.404809619238476581e-02 3.608069098234157890e-01 7.460170603705920667e-03 3.566635528697711943e-01 3.565678094517544250e-01 3.622443358743560049e-01 3.634162013547067582e-01 3.603145899988492440e-01 3.602950274155507504e-01 3.608445897965529836e-01 3.623673354932340773e-01 3.614616904513855422e-01 3.637024605318552317e-01
2.805611222444889460e-02 4.197742948605919233e-01 7.556302459311292109e-03 4.156352427597657662e-01 4.154282009579829404e-01 4.212336923180570181e-01 4.223706305250399251e-01 4.193127890865747109e-01 4.192242942212189849e-01 4.198322398376366782e-01 4.213605251246184680e-01 4.203832143859366766e-01 4.227601433918902751e-01
3.206412825651302340e-02 4.783639251462136199e-01 7.381930052549276651e-03 4.743979293234313332e-01 4.740528196077509748e-01 4.797933757408964772e-01 4.808400781032607929e-01 4.779608565055510350e-01 4.777859677832720364e-01 4.784459226002695242e-01 4.799203232510582118e-01 4.788891049118850218e-01 4.813490998011242805e-01
3.607214428857714872e-02 5.365459996821849709e-01 6.967392167218282827e-03 5.329052279195591879e-01 5.323979686805367928e-01 5.378985492011171266e-01 5.388059854161699747e-01 5.362257528918547012e-01 5.359492449735807629e-01 5.366552781164876107e-01 5.380224144482950166e-01 5.369540071837822781e-01 5.394488680397119262e-01
