# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
0.000000000000000000e+00 1.312749519402165633e-06 8.513300178502575713e-08 1.249482215274607265e-06 1.281917528757146247e-06 1.303948826357900434e-06 1.336346336443201912e-06 1.307526506239859813e-06 1.279915452850291862e-06 1.304570225966812363e-06 1.321004169664614151e-06 1.323913845948062669e-06 1.330341814141236235e-06
4.008016032064127925e-03 1.086245190423474893e-01 6.904234825417064972e-03 1.034066623196782386e-01 1.061872792177072505e-01 1.078602616690380461e-01 1.104385676937132688e-01 1.082275485999300291e-01 1.058712242396450398e-01 1.079848184054643806e-01 1.092536966177330843e-01 1.093499890871891672e-01 1.099103464021820437e-01
8.016032064128255849e-03 2.455252123774902262e-01 1.533137615001293856e-02 2.337421491619356972e-01 2.402725118331925369e-01 2.437170488258537382e-01 2.492868874497483622e-01 2.447103561698673602e-01 2.392017850408373891e-01 2.441779139684119304e-01 2.468246403234849451e-01 2.466600755795454736e-01 2.480211446690733235e-01
1.202404809619238291e-02 3.381733874221008462e-01 2.082057138995318732e-02 3.219177839643073691e-01 3.312841507772348870e-01 3.355755527506892322e-01 3.428622894904427842e-01 3.371657505784827480e-01 3.293049067419435150e-01 3.364718482447021097e-01 3.397957501491376542e-01 3.389758245524777114e-01 3.410172697361052441e-01
1.603206412825651170e-02 3.943466912722699558e-01 2.405091297107016593e-02 3.753113953186797414e-01 3.867025437806350663e-01 3.911990443580691812e-01 3.992201695964435193e-01 3.933042285700915630e-01 3.837993170142726673e-01 3.925611510620150013e-01 3.960479465580166170e-01 3.943338778696122149e-01 3.969457778829801886e-01
2.004008016032064049e-02 4.289725329500659878e-01 2.605801594477870700e-02 4.081277653046839760e-01 4.210621603227713283e-01 4.254292694753777915e-01 4.336149377917072334e-01 4.279792205287320517e-01 4.172574285626780011e-01 4.272638463974874901e-01 4.306231036144965163e-01 4.278755123518178105e-01 4.310018670809471208e-01
2.404809619238476581e-02 4.526916689549655981e-01 2.754745893323879216e-02 4.304983647197612728e-01 4.447487146913287615e-01 4.488378714921161805e-01 4.568912419692591209e-01 4.517864909835134224e-01 4.400598265754578353e-01 4.511500949404711469e-01 4.542317189245049791e-01 4.503535100519191481e-01 4.539815666384253712e-01
2.805611222444889460e-02 4.719158911932200828e-01 2.893177973374264772e-02 4.485299965877038164e-01 4.640323540184624340e-01 4.677911909012393288e-01 4.755689569855182097e-01 4.711145678377213208e-01 4.584576041296484772e-01 4.705932299532845087e-01 4.733218177611310251e-01 4.682260154200741376e-01 4.723721880875937362e-01
3.206412825651302340e-02 4.903006094282404970e-01 3.043973075787128821e-02 4.657049055286588413e-01 4.824951483524396179e-01 4.859164002647577973e-01 4.933556436725197725e-01 4.896080751484109261e-01 4.760118653722152371e-01 4.892295286806191967e-01 4.915658145762076270e-01 4.851609302554786840e-01 4.898605990192987925e-01
3.607214428857714872e-02 5.098829690031118078e-01 3.219435869612528173e-02 4.839643273467230111e-01 5.021384680492038122e-01 5.052332871722123864e-01 5.123110829729862203e-01 5.092999310756537445e-01 4.947053715115078409e-01 5.090873791042027641e-01 5.110077491171343134e-01 5.031928767940396785e-01 5.084935610654838234e-01
4.008016032064128098e-02 5.317802182747748407e-01 3.425877335231922866e-02 5.043739751838516305e-01 5.240637220345160108e-01 5.268483115857468535e-01 5.335606375055412798e-01 5.313064477807132313e-01 5.156244650959717069e-01 5.312803593336581365e-01 5.327666767103650391e-01 5.234316650626085199e-01 5.293882749723806125e-01
