# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.002004008016032024e-02 2.656892996741710283e-02 5.970372338655884764e-02 1.277117708202610627e-02 1.641357745817876093e-02 1.894034127996975514e-02 4.720160140292328083e-02 2.109257573246943462e-02 1.532282077989692050e-02 1.807004047678829883e-02 3.135744330683860187e-02 7.135802252448902872e-02 4.973306290340196584e-02
2.004008016032064049e-02 7.195535663045288244e-02 1.155393320163121545e-01 4.036032003542964347e-02 4.904492512808349830e-02 5.561411953692371041e-02 1.122650786049884802e-01 5.988203354568950171e-02 4.693116415156865090e-02 5.351926976100842420e-02 8.227122187931870667e-02 1.537238238698913628e-01 1.173060076515246020e-01
3.006012024048096073e-02 1.587292455581907624e-01 1.746671648254421449e-01 1.025720852359704172e-01 1.183000166425376143e-01 1.324123756762972115e-01 2.193943684143869199e-01 1.379066749877719267e-01 1.160811702308878063e-01 1.284039364410730633e-01 1.763910773944581400e-01 2.735111930572128314e-01 2.276485903287682466e-01
4.008016032064128098e-02 3.140860361898391573e-01 2.232922717542676905e-01 2.300241259996557430e-01 2.532441445591087636e-01 2.803126269021203321e-01 3.899544433963108570e-01 2.835447618818845439e-01 2.541364601596224904e-01 2.736722043929259440e-01 3.403083009035220430e-01 4.470767882948107341e-01 4.021792380594758631e-01
5.010020040080159776e-02 5.615477276504039494e-01 2.329978198009337587e-01 4.577593115061808215e-01 4.843318716979868044e-01 5.301796654636583561e-01 6.366901582430687379e-01 5.241659725384121282e-01 4.948038659038699882e-01 5.207278678074749312e-01 5.949618627571041651e-01 6.799393856056331620e-01 6.530934806826463879e-01
6.012024048096192147e-02 9.049457193773675634e-01 1.788703599229874708e-01 8.062851788966411970e-01 8.256675872074954459e-01 8.928922741792786333e-01 9.534663517319033055e-01 8.691577227023008501e-01 8.539871314139468872e-01 8.816452214250161123e-01 9.400999933054154933e-01 9.617778309677318394e-01 9.731665214129174846e-01
7.014028056112224518e-02 1.315610956675786314e+00 1.072764973719923937e-01 1.259010670035921819e+00 1.256511722876372028e+00 1.340242103130332207e+00 1.310220284194648199e+00 1.294076399973153935e+00 1.308151038389750775e+00 1.329636644225794972e+00 1.343400275684591305e+00 1.265901537518775877e+00 1.331098528150905125e+00
8.016032064128256196e-02 1.734817813868900327e+00 2.314760104426381859e-01 1.754699898244824530e+00 1.717817968067925971e+00 1.804220907378860428e+00 1.659017422855757706e+00 1.739850315901931843e+00 1.790293973240411507e+00 1.797530995370761664e+00 1.745258552556582687e+00 1.555686470234966645e+00 1.678171375475978389e+00
9.018036072144287874e-02 2.094304542290510884e+00 4.229772048728711598e-01 2.206916236593848613e+00 2.131772364142987986e+00 2.201513308776504196e+00 1.950244511320717189e+00 2.132618016221712320e+00 2.213228394218968997e+00 2.201682811516571192e+00 2.080253169883052866e+00 1.796233754546708417e+00 1.964877050129263170e+00
1.002004008016031955e-01 2.341484018724581784e+00 5.718246897145378149e-01 2.538567425191869731e+00 2.431943934351753267e+00 2.466942891898602497e+00 2.148691280498836953e+00 2.411549247011309571e+00 2.505070732402373324e+00 2.475546769443869088e+00 2.301093724689764919e+00 1.964152424243957640e+00 2.156952610069382548e+00
1.102204408817635262e-01 2.455674269572518220e+00 6.415993153853589703e-01 2.710110738171845668e+00 2.586203515459853719e+00 2.575617053147954305e+00 2.242562865092660118e+00 2.548908915701216582e+00 2.634840141332623897e+00 2.592513209770689109e+00 2.392424645597604371e+00 2.052498688678606520e+00 2.243950346103525728e+00
