# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
1.000000000000000021e-08 5.468618767628639223e-08 3.183370243570221056e-08 6.552137177402388603e-08 5.577007631649454252e-08 5.448578446937723915e-08 3.973357574978493294e-08 5.517631104389568958e-08 5.348630982637727711e-08 7.519069486639943230e-08 4.626113462213697415e-08 5.589965027471323787e-08 4.132018997916663879e-08
4.008016032064128098e-02 2.020588976189428843e-02 5.453988490359623457e-03 1.797325648786333302e-02 1.946468457158378323e-02 1.951756385805445207e-02 2.264678274378728942e-02 2.025774563136042289e-02 2.094075893408157280e-02 1.783012528259379781e-02 2.082116998659475776e-02 1.911481265751045419e-02 2.338139231924322645e-02
8.016032064128256196e-02 3.901169755252056198e-02 1.999975079208556744e-02 3.144369302199205574e-02 3.650135431990657320e-02 3.670772438521080483e-02 4.831458652670476972e-02 3.912360250890740965e-02 4.164118212069711777e-02 3.077047240647902762e-02 4.130539444202922794e-02 3.530627938050022452e-02 5.132134379692562809e-02
1.202404809619238429e-01 6.936003579587125822e-02 4.817991395751979739e-02 5.217890246261501497e-02 6.387123751000342575e-02 6.443690133409064880e-02 9.217857338674075030e-02 6.926405039979635636e-02 7.527533931544383439e-02 5.002659077356474276e-02 7.506823391889790031e-02 6.113628769645861050e-02 1.001288378049426941e-01
1.603206412825651239e-01 1.109866657651521482e-01 8.756603482056934951e-02 8.067309406918089787e-02 1.021095843613622767e-01 1.033809155170885979e-01 1.523888063000724824e-01 1.097801410226087182e-01 1.204817909147326144e-01 7.533065786953339893e-02 1.219870213363790507e-01 9.725492724379863896e-02 1.679159592682515634e-01
2.004008016032063910e-01 1.585592373644186537e-01 1.249971541338792402e-01 1.152043478465610976e-01 1.477754083931602236e-01 1.502415291282613030e-01 2.164257590086035021e-01 1.546886495462667654e-01 1.694596157285110649e-01 1.044009086724042995e-01 1.757706871355510514e-01 1.408474242518818198e-01 2.395844009801548213e-01
2.404809619238476859e-01 2.030727683018101470e-01 1.438832078811113913e-01 1.518577068773986349e-01 1.937645903376417067e-01 1.980117649835026750e-01 2.667661487284223032e-01 1.950342563716261912e-01 2.110945252116040727e-01 1.334898372370861286e-01 2.256040443424220943e-01 1.857761352740982530e-01 2.934840375912145527e-01
2.805611222444889807e-01 2.359455652161774608e-01 1.370691851869544342e-01 1.856703367615964440e-01 2.319295954908981994e-01 2.385427774022928771e-01 2.915799822293597132e-01 2.232733738076633778e-01 2.369035955027838092e-01 1.587419952834524250e-01 2.612802227452183379e-01 2.246887810837402411e-01 3.152519252902086788e-01
3.206412825651302478e-01 2.525821504132191309e-01 1.118944402099649182e-01 2.122042190555962216e-01 2.562192390898238026e-01 2.656424374236074915e-01 2.899311507397269727e-01 2.362733030889914154e-01 2.445136859080200009e-01 1.774431836553096165e-01 2.776354528943568711e-01 2.517030254849678128e-01 3.048406254624258516e-01
3.607214428857715149e-01 2.531564057600281803e-01 8.521612461660682536e-02 2.286867165229891918e-01 2.643871506291358142e-01 2.767843951178683981e-01 2.688163018299831730e-01 2.352572954789341197e-01 2.368254724476521467e-01 1.885155748503321571e-01 2.753774686725536380e-01 2.640489073445148605e-01 2.723916403050512525e-01
4.008016032064127820e-01 2.410868942465229092e-01 7.340199677582318061e-02 2.343483714701619092e-01 2.577783220435043154e-01 2.729519557478107261e-01 2.373900506232322072e-01 2.238832678399989284e-01 2.190757373745690351e-01 1.922870847247700188e-01 2.590123420064016080e-01 2.621489147401127040e-01 2.301881511641842015e-01
4.408817635270541047e-01 2.209197534262552776e-01 7.694900086218933732e-02 2.301085444524397505e-01 2.399653926966044959e-01 2.573663836996645804e-01 2.030972160281758754e-01 2.062711569201903239e-01 1.963446793004380020e-01 1.899320838787161014e-01 2.341512227301129068e-01 2.486501433726808208e-01 1.874974974956659934e-01
