# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
1.000000000000000021e-08 7.412664725133719059e-08 1.673067880108714321e-07 1.192620861735284309e-07 1.242570294827484270e-07 8.535957802111005540e-08 5.820493804199403658e-157 1.009687395898882334e-300 3.620610449225386377e-264 2.206928240901259381e-45 7.160745727631305692e-08 1.107574078164583511e-07 6.749214982355425702e-08
1.002004008016032024e-02 1.237499975194243998e-02 1.561473365968086635e-03 1.194880581523961871e-02 1.184757467296762914e-02 1.227318171451453367e-02 1.297240630612407630e-02 1.304777807205566992e-02 1.301982979629580719e-02 1.316304837314795188e-02 1.237588823387696102e-02 1.201927849139238641e-02 1.237187474494522155e-02
2.004008016032064049e-02 1.529898887749863053e-02 3.917389228337096914e-03 1.426866723068268526e-02 1.402980861905586511e-02 1.504948525530536672e-02 1.681030580230310004e-02 1.701260156199541421e-02 1.693851526552361472e-02 1.729634101651868205e-02 1.530119611243218117e-02 1.443644139223333907e-02 1.529151841468117702e-02
3.006012024048096073e-02 1.887569201693834256e-02 7.301910147950464378e-03 1.701746547052153738e-02 1.659702754338671093e-02 1.841977689466861232e-02 2.171178660666776838e-02 2.210133568577477350e-02 2.195908375770965620e-02 2.264155033258961544e-02 1.887983526609869275e-02 1.731550445451411971e-02 1.886306131998894201e-02
4.008016032064128098e-02 2.321872666481262712e-02 1.200453216857360651e-02 2.025786235057618068e-02 1.960392130938199209e-02 2.248316369169104170e-02 2.790952793794379549e-02 2.856530806928612651e-02 2.832643549365003802e-02 2.947409641223831811e-02 2.322568287009324148e-02 2.072578618300315034e-02 2.320113294586252303e-02
5.010020040080159776e-02 2.844844547928524273e-02 1.834094337342936226e-02 2.405595896584781720e-02 2.310856183784224319e-02 2.734435110173035616e-02 3.565485574048250089e-02 3.667462146676828821e-02 3.630438344991831351e-02 3.809044713846407998e-02 2.845944271762487765e-02 2.474031975821907106e-02 2.842799806768344512e-02
6.012024048096192147e-02 3.468767993532185373e-02 2.663410254084657217e-02 2.847980737226181447e-02 2.717139397554098335e-02 3.311021370168236444e-02 4.520654205620628502e-02 4.670536210114570319e-02 4.616362095129139531e-02 4.879109952342797207e-02 3.470440936968854917e-02 2.943401837854651981e-02 3.466964636143102935e-02
7.014028056112224518e-02 4.205600414820789140e-02 3.718468045872659611e-02 3.359744626143288532e-02 3.185386745411396964e-02 3.988522059910332845e-02 5.681381199034791357e-02 5.891968415763561284e-02 5.816300601432353168e-02 6.185597012402547362e-02 4.208075080828901915e-02 3.488126326805245092e-02 4.205042383984849974e-02
8.016032064128256196e-02 5.066264160046282661e-02 5.023248130968405861e-02 3.947449301012029288e-02 3.721672318562817272e-02 4.776581232756109408e-02 7.069428481319965651e-02 7.354007899568859585e-02 7.252527854620646752e-02 7.751306492388673752e-02 5.069842899164042627e-02 4.115295982472287617e-02 5.068628329152072981e-02
9.018036072144287874e-02 6.059831609183229800e-02 6.591172553958882241e-02 4.617135182014900363e-02 4.331795868434160784e-02 5.683395035046348576e-02 8.700811706383933253e-02 9.071954853197775059e-02 8.940873401047727542e-02 9.590274474593560305e-02 6.064905551077515861e-02 4.831314844245823692e-02 6.067689294849877568e-02
