# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
0.000000000000000000e+00 2.176772952079772949e-01 9.025965817272663116e-03 2.128283530473709106e-01 2.135523110628128052e-01 2.181739360094070435e-01 2.203568816184997559e-01 2.160261720418930054e-01 2.161557972431182861e-01 2.175711244344711304e-01 2.198618650436401367e-01 2.208667546510696411e-01 2.213684767484664917e-01
4.008000000000000278e-03 2.242634743452072144e-01 8.865376003086566925e-03 2.195060700178146362e-01 2.201964259147644043e-01 2.247597575187683105e-01 2.268902361392974854e-01 2.226464897394180298e-01 2.227715253829956055e-01 2.241662740707397461e-01 2.264126837253570557e-01 2.273768782615661621e-01 2.278990596532821655e-01
8.016000000000000555e-03 2.369615435600280762e-01 8.556658402085304260e-03 2.323799133300781250e-01 2.330056130886077881e-01 2.374566197395324707e-01 2.394863218069076538e-01 2.354098111391067505e-01 2.355261892080307007e-01 2.368813008069992065e-01 2.390422224998474121e-01 2.399282902479171753e-01 2.404897809028625488e-01
1.202399999999999997e-02 2.553017139434814453e-01 8.113279007375240326e-03 2.509730160236358643e-01 2.515059113502502441e-01 2.557950317859649658e-01 2.576798200607299805e-01 2.538438141345977783e-01 2.539476752281188965e-01 2.552456557750701904e-01 2.572835981845855713e-01 2.580579519271850586e-01 2.586754262447357178e-01
1.603200000000000111e-02 2.788231670856475830e-01 7.549354806542396545e-03 2.748171985149383545e-01 2.752317786216735840e-01 2.793136537075042725e-01 2.810142636299133301e-01 2.774845957756042480e-01 2.775723040103912354e-01 2.787975966930389404e-01 2.806786000728607178e-01 2.813113033771514893e-01 2.819997966289520264e-01
2.004000000000000226e-02 3.070760667324066162e-01 6.879694294184446335e-03 3.034552931785583496e-01 3.037290275096893311e-01 3.075625598430633545e-01 3.090444207191467285e-01 3.058795332908630371e-01 3.059476912021636963e-01 3.070863187313079834e-01 3.087803423404693604e-01 3.092458248138427734e-01 3.100175261497497559e-01
2.404799999999999993e-02 3.396242558956146240e-01 6.120327394455671310e-03 3.364434242248535156e-01 3.365568220615386963e-01 3.401051163673400879e-01 3.413387238979339600e-01 3.385895490646362305e-01 3.386350572109222412e-01 3.396746814250946045e-01 3.411554694175720215e-01 3.414323627948760986e-01 3.422973453998565674e-01
2.805600000000000108e-02 3.760468065738677979e-01 5.288409069180488586e-03 3.733534514904022217e-01 3.732897937297821045e-01 3.765201270580291748e-01 3.774808645248413086e-01 3.751907944679260254e-01 3.752105236053466797e-01 3.761408627033233643e-01 3.773857951164245605e-01 3.774570822715759277e-01 3.784229457378387451e-01
3.206400000000000222e-02 4.159395396709442139e-01 4.404041450470685959e-03 4.137738645076751709e-01 4.135195612907409668e-01 4.164028167724609375e-01 4.170712232589721680e-01 4.152761399745941162e-01 4.152673184871673584e-01 4.160796403884887695e-01 4.170698821544647217e-01 4.169227480888366699e-01 4.179947078227996826e-01
3.607199999999999990e-02 4.589160084724426270e-01 3.494422417134046555e-03 4.573112726211547852e-01 4.568552374839782715e-01 4.593663513660430908e-01 4.597275853157043457e-01 4.584562480449676514e-01 4.584165513515472412e-01 4.591034948825836182e-01 4.598237276077270508e-01 4.594497084617614746e-01 4.606303870677947998e-01
