# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
2.268414464000000000e+09 7.754273712635040283e-03 4.632310196757316589e-02 2.268414464000000000e+09
2.263030528000000000e+09 8.081500418484210968e-03 4.576388001441955566e-02 2.263030528000000000e+09
2.257556224000000000e+09 8.425136096775531769e-03 4.522707685828208923e-02 2.257556224000000000e+09
2.251991040000000000e+09 8.784624747931957245e-03 4.472003877162933350e-02 2.251991040000000000e+09
2.246300416000000000e+09 9.162398986518383026e-03 4.423341527581214905e-02 2.246300416000000000e+09
2.240521472000000000e+09 9.555388242006301880e-03 4.376446828246116638e-02 2.240521472000000000e+09
2.234666752000000000e+09 9.963627904653549194e-03 4.331148788332939148e-02 2.234666752000000000e+09
2.228928512000000000e+09 1.037181913852691650e-02 4.287375882267951965e-02 2.228928512000000000e+09
2.222960384000000000e+09 1.080665364861488342e-02 4.245223850011825562e-02 2.222960384000000000e+09
2.216893952000000000e+09 1.125922426581382751e-02 4.204465821385383606e-02 2.216893952000000000e+09
2.210691840000000000e+09 1.173100899904966354e-02 4.164973646402359009e-02 2.210691840000000000e+09
2.204518400000000000e+09 1.221147179603576660e-02 4.126546904444694519e-02 2.204518400000000000e+09
2.198211840000000000e+09 1.271259412169456482e-02 4.089108854532241821e-02 2.198211840000000000e+09
2.191878656000000000e+09 1.322815846651792526e-02 4.052638262510299683e-02 2.191878656000000000e+09
2.185431552000000000e+09 1.376174855977296829e-02 4.017124325037002563e-02 2.185431552000000000e+09
2.178985472000000000e+09 1.431223284453153610e-02 3.982820361852645874e-02 2.178985472000000000e+09
2.172461056000000000e+09 1.488008722662925720e-02 3.949366137385368347e-02 2.172461056000000000e+09
2.165846528000000000e+09 1.546587329357862473e-02 3.916838392615318298e-02 2.165846528000000000e+09
2.159211008000000000e+09 1.607064157724380493e-02 3.885173425078392029e-02 2.159211008000000000e+09
2.152511488000000000e+09 1.668987423181533813e-02 3.854497522115707397e-02 2.152511488000000000e+09
2.145809408000000000e+09 1.732625998556613922e-02 3.824624046683311462e-02 2.145809408000000000e+09
2.139046016000000000e+09 1.798167079687118530e-02 3.795538842678070068e-02 2.139046016000000000e+09
2.132323840000000000e+09 1.864546537399291992e-02 3.767302259802818298e-02 2.132323840000000000e+09
2.125459968000000000e+09 1.933803223073482513e-02 3.739896044135093689e-02 2.125459968000000000e+09
2.118600704000000000e+09 2.004679478704929352e-02 3.713191300630569458e-02 2.118600704000000000e+09
2.111698304000000000e+09 2.077597565948963165e-02 3.687253221869468689e-02 2.111698304000000000e+09
