# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
1.153002116848025600e+16 8.522684685885906219e-03 4.748030751943588257e-02 1.153002116848025600e+16
1.151917637605785600e+16 8.656236343085765839e-03 4.695599153637886047e-02 1.151917637605785600e+16
1.150848405497446400e+16 8.794985711574554443e-03 4.644836112856864929e-02 1.150848405497446400e+16
1.149668577981235200e+16 8.937953971326351166e-03 4.595374688506126404e-02 1.149668577981235200e+16
1.148525472435404800e+16 9.084784425795078278e-03 4.547187685966491699e-02 1.148525472435404800e+16
1.147370877852057600e+16 9.233306162059307098e-03 4.500191286206245422e-02 1.147370877852057600e+16
1.146202754121728000e+16 9.387711063027381897e-03 4.454324766993522644e-02 1.146202754121728000e+16
1.145034737765580800e+16 9.543490596115589142e-03 4.409692063927650452e-02 1.145034737765580800e+16
1.143852870139904000e+16 9.702502749860286713e-03 4.366618767380714417e-02 1.143852870139904000e+16
1.142659942973440000e+16 9.864855557680130005e-03 4.324713349342346191e-02 1.142659942973440000e+16
1.141461647097856000e+16 1.002924703061580658e-02 4.283521696925163269e-02 1.141461647097856000e+16
1.140301683805388800e+16 1.019735448062419891e-02 4.243056848645210266e-02 1.140301683805388800e+16
1.139035312698163200e+16 1.037135161459445953e-02 4.203329235315322876e-02 1.139035312698163200e+16
1.137806629928960000e+16 1.054793130606412888e-02 4.164410009980201721e-02 1.137806629928960000e+16
1.136571504708812800e+16 1.072814594954252243e-02 4.126395285129547119e-02 1.136571504708812800e+16
1.135324568328601600e+16 1.091131474822759628e-02 4.089515656232833862e-02 1.135324568328601600e+16
1.134069149387980800e+16 1.109761558473110199e-02 4.053583368659019470e-02 1.134069149387980800e+16
1.132805355261132800e+16 1.128680631518363953e-02 4.018751159310340881e-02 1.132805355261132800e+16
1.131529749974220800e+16 1.148009020835161209e-02 3.985014930367469788e-02 1.131529749974220800e+16
1.130247487488000000e+16 1.167652290314435959e-02 3.952257707715034485e-02 1.130247487488000000e+16
1.128948904126054400e+16 1.187872048467397690e-02 3.920374438166618347e-02 1.128948904126054400e+16
1.127645811048448000e+16 1.208430621773004532e-02 3.889497369527816772e-02 1.127645811048448000e+16
