# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
0.000000000000000000e+00 -3.119684569537639618e-02 1.049187686294317245e-02 -2.950492687523365021e-02 -2.853285335004329681e-02 -3.571899980306625366e-02 -3.603283315896987915e-02 -3.466840833425521851e-02 -3.531078249216079712e-02 -3.221224993467330933e-02 -3.109348379075527191e-02 -2.605876885354518890e-02 -3.090323321521282196e-02
4.008016032064127925e-03 3.253271877765655518e-01 1.879245415329933167e-02 3.217892646789550781e-01 3.163731992244720459e-01 3.296280503273010254e-01 3.286499679088592529e-01 3.339463174343109131e-01 3.280752301216125488e-01 3.271474242210388184e-01 3.258361220359802246e-01 3.132960498332977295e-01 3.265409767627716064e-01
8.016032064128255849e-03 4.172999858856201172e-01 3.431617468595504761e-02 4.106173515319824219e-01 3.999943733215332031e-01 4.265191853046417236e-01 4.235252439975738525e-01 4.278461635112762451e-01 4.274358749389648438e-01 4.193186163902282715e-01 4.198550581932067871e-01 3.953934907913208008e-01 4.200594425201416016e-01
1.202404809619238291e-02 5.458799600601196289e-01 3.310445696115493774e-02 5.348774790763854980e-01 5.379425287246704102e-01 5.582128763198852539e-01 5.611966252326965332e-01 5.465244650840759277e-01 5.598576068878173828e-01 5.478380322456359863e-01 5.422197580337524414e-01 5.289136767387390137e-01 5.407353639602661133e-01
1.603206412825651170e-02 8.976586461067199707e-01 1.023753918707370758e-02 9.026640057563781738e-01 9.009891152381896973e-01 8.942618966102600098e-01 8.958446979522705078e-01 8.922061324119567871e-01 8.957838416099548340e-01 8.972645401954650879e-01 8.957417011260986328e-01 9.017704129219055176e-01 8.974099159240722656e-01
2.004008016032064049e-02 8.730317354202270508e-01 1.441690512001514435e-02 8.689213395118713379e-01 8.675695061683654785e-01 8.768649697303771973e-01 8.798164725303649902e-01 8.723653554916381836e-01 8.769437074661254883e-01 8.749660253524780273e-01 8.706437945365905762e-01 8.644309043884277344e-01 8.717509508132934570e-01
2.404809619238476581e-02 9.966818690299987793e-01 2.750593982636928558e-02 9.912549853324890137e-01 9.870834946632385254e-01 1.005236506462097168e+00 1.005405306816101074e+00 1.001245856285095215e+00 1.005893230438232422e+00 9.985006451606750488e-01 9.936999678611755371e-01 9.776322841644287109e-01 9.941387772560119629e-01
2.805611222444889460e-02 1.326245784759521484e+00 1.828063279390335083e-02 1.324378728866577148e+00 1.321016073226928711e+00 1.331983804702758789e+00 1.333546638488769531e+00 1.324065685272216797e+00 1.334815144538879395e+00 1.327359557151794434e+00 1.322929382324218750e+00 1.315180420875549316e+00 1.324027657508850098e+00
3.206412825651302340e-02 1.368389606475830078e+00 1.178374793380498886e-02 1.367201328277587891e+00 1.366352081298828125e+00 1.372643828392028809e+00 1.376154065132141113e+00 1.369137525558471680e+00 1.373245596885681152e+00 1.370468854904174805e+00 1.365186691284179688e+00 1.364461898803710938e+00 1.367371082305908203e+00
3.607214428857714872e-02 1.612580657005310059e+00 1.473366282880306244e-02 1.618423581123352051e+00 1.609508156776428223e+00 1.609349250793457031e+00 1.610901832580566406e+00 1.621827840805053711e+00 1.605837583541870117e+00 1.615168213844299316e+00 1.611920714378356934e+00 1.614117145538330078e+00 1.617075562477111816e+00
4.008016032064128098e-02 1.540923118591308594e+00 2.001676894724369049e-02 1.544574737548828125e+00 1.549044370651245117e+00 1.535027861595153809e+00 1.542251586914062500e+00 1.530544877052307129e+00 1.534047484397888184e+00 1.542059302330017090e+00 1.535300135612487793e+00 1.550393462181091309e+00 1.538079261779785156e+00
4.408817635270540630e-02 1.753533720970153809e+00 2.724491059780120850e-02 1.748852849006652832e+00 1.758806705474853516e+00 1.761560916900634766e+00 1.770757317543029785e+00 1.743496894836425781e+00 1.763007640838623047e+00 1.756127476692199707e+00 1.744866728782653809e+00 1.753388762474060059e+00 1.745748400688171387e+00
4.809619238476953162e-02 2.244061946868896484e+00 9.342179633677005768e-03 2.248950242996215820e+00 2.243416786193847656e+00 2.244098424911499023e+00 2.246522903442382812e+00 2.240212678909301758e+00 2.246224880218505859e+00 2.245149612426757812e+00 2.239169120788574219e+00 2.240823745727539062e+00 2.242655515670776367e+00
5.210420841683366389e-02 2.325553655624389648e+00 2.256286144256591797e-02 2.325794696807861328e+00 2.313628911972045898e+00 2.329738616943359375e+00 2.331005096435546875e+00 2.330996751785278320e+00 2.330557584762573242e+00 2.328285217285156250e+00 2.323086738586425781e+00 2.309784412384033203e+00 2.327485084533691406e+00
5.611222444889778921e-02 2.340743780136108398e+00 1.762608066201210022e-02 2.340212345123291016e+00 2.338956594467163086e+00 2.345052957534790039e+00 2.349230766296386719e+00 2.332547903060913086e+00 2.348249912261962891e+00 2.342536687850952148e+00 2.334784507751464844e+00 2.334103822708129883e+00 2.337442874908447266e+00
6.012024048096192147e-02 2.288774013519287109e+00 2.861956879496574402e-02 2.283996105194091797e+00 2.295710563659667969e+00 2.293279647827148438e+00 2.305596590042114258e+00 2.275289535522460938e+00 2.292992115020751953e+00 2.291957378387451172e+00 2.277044296264648438e+00 2.287444591522216797e+00 2.278906583786010742e+00
6.412825651302604679e-02 2.646281003952026367e+00 2.774224244058132172e-02 2.647642135620117188e+00 2.658401012420654297e+00 2.648351907730102539e+00 2.658681392669677734e+00 2.631731748580932617e+00 2.650591850280761719e+00 2.648077249526977539e+00 2.635664701461791992e+00 2.653768539428710938e+00 2.638400077819824219e+00
6.813627254509017905e-02 2.839562177658081055e+00 2.440953068435192108e-02 2.836281538009643555e+00 2.841134309768676758e+00 2.844459295272827148e+00 2.855508089065551758e+00 2.829593658447265625e+00 2.844928741455078125e+00 2.843226671218872070e+00 2.829803466796875000e+00 2.834243535995483398e+00 2.833205223083496094e+00
7.214428857715429744e-02 2.604089498519897461e+00 2.839861251413822174e-02 2.598846435546875000e+00 2.606043577194213867e+00 2.613306999206542969e+00 2.623135805130004883e+00 2.602107524871826172e+00 2.612917184829711914e+00 2.607797622680664062e+00 2.593642950057983398e+00 2.596421957015991211e+00 2.595993995666503906e+00
7.615230460921842970e-02 2.704849720001220703e+00 3.524091467261314392e-02 2.695128679275512695e+00 2.700157880783081055e+00 2.715608596801757812e+00 2.727665424346923828e+00 2.703726053237915039e+00 2.714820384979248047e+00 2.710369825363159180e+00 2.695362329483032227e+00 2.689914226531982422e+00 2.697967767715454102e+00
